Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2017-03-14,61.355705,61.553802,61.005234,61.401417,6014451.5,368989280.0,80.59,0.0,0,0,0
2017-03-15,61.58428,62.959507,61.54618,62.64332,9420979.0,586980860.0,82.22,0.0,0,0,0
2017-03-16,62.57474,62.94808,62.40713,62.52141,5849459.5,366223200.0,82.06,0.0,0,0,0
2017-03-17,62.78046,63.009026,62.475697,62.810936,5749617.0,360942100.0,82.44,0.0,0,0,0
2017-03-20,62.856647,63.0395,62.597603,62.703583,3607380.8,226388640.0,82.2991,0.0,0,0,0
2017-03-21,62.84141,63.024265,62.38427,62.48332,9147751.0,572671900.0,82.01,0.0,0,0,0
2017-03-22,62.55623,62.594597,61.81946,62.448784,6017227.5,374559070.0,81.37,0.0,0,0,0
2017-03-23,62.456455,63.415787,62.36436,62.909264,9916025.0,625455940.0,81.97,0.0,0,0,0
2017-03-24,63.001354,63.277645,62.763443,62.840187,5732126.0,360957500.0,81.88,0.0,0,0,0
2017-03-27,62.748096,63.024384,62.07656,62.272263,5936364.0,371091400.0,81.14,0.0,0,0,0
2017-03-28,62.418083,62.632973,61.83481,62.540874,5514102.5,343416260.0,81.49,0.0,0,0,0
2017-03-29,62.517853,62.90159,62.325985,62.89391,4069612.8,254995330.0,81.95,0.0,0,0,0
2017-03-30,62.79414,63.104965,62.375874,63.009033,5985058.0,376226660.0,82.1,0.0,0,0,0
2017-03-31,63.032055,63.612568,62.92461,63.38509,9339712.0,591799230.0,82.59,0.0,0,0,0
2017-04-03,63.208576,63.68824,63.177876,63.569286,9732011.0,617446200.0,82.83,0.0,0,0,0
2017-04-04,63.47719,63.98372,63.392384,63.569286,6983084.0,444483650.0,82.83,0.0,0,0,0
2017-04-05,63.630684,64.01442,63.561607,63.661377,6174498.0,393840480.0,82.95,0.0,0,0,0
2017-04-06,63.52323,64.11035,63.264984,63.999065,6139062.0,391950530.0,83.39,0.0,0,0,0
